LICENSEE NAME,DOING BUSINESS AS,LICENSE #,LICENSE TYPE,EXPIRES,STREET ADDRESS,CITY,STATE,ZIP
50 WEST WINERY AND VINEYAR50 WEST WINERY AND VINEYARDS 03-13142,,,Winery Direct Shipper's Permit,,03/16/2021 39060 JOHN MOSBY HIGHWAY,Middleburg,VA,20117
PROJECT 5030 LLC,5030 LOCAL BERTHOUD BREWING C 03-10606,,Brew Pub (city),,11/27/2021 1480-1490 CASCADE AVENUE,Loveland,CO,80538
LAKI INC,503W,03-04324,Hotel & Restaurant (city),,05/17/2021 503 WEST COLORADO AVENUE,Colorado Springs,CO,80905
511 ROSE LLC,511 ROSE,03-14304,Hotel & Restaurant (city),,01/28/2022 511 ROSE STREET,Georgetown,CO,80444
518 WINE BAR LLC,518 WINE BAR,03-11798,Beer & Wine (city),,07/14/2021 518 YAMPA AVENUE,Craig,CO,81625
52 LIQUOR LLC,52 LIQUOR LLC,42-87529-0000 Liquor Store (city),,,12/14/2021 901 CARBONDALE DRIVE,Dacono,CO,80514
T & W PARTNERS LLC,520 GRILL,42-82308-0000 Beer & Wine (city),,,04/17/2022 520 EAST COOPER AVENUE LL5-LL4Aspen,CO,81611,
AUSTIN FRESH BURGER BAR P 5280 BURGER BAR,,03-02257,Hotel & Restaurant (city),,"01/01/2022 500 16TH ST, SUITE 160",Denver,CO,80202
AUSTIN FRESH BURGER BAR W5280 BURGER BAR,,03-08254,Hotel & Restaurant (city),,07/02/2021 4301 MAIN STREET SUITE 500,Westminster,CO,80031
5280 DISTILLING CORP,5280 DISTILLING CORP,03-09645,Wholesale (vinous & spirituous),,08/22/2021 10488 WEST CENTENNIAL ROAD SULittleton,CO,80127,
5280 DISTILLING CORP,5280 DISTILLING CORP,03-09646,Manufacturer (distillery & rectifie,,08/22/2021 10488 WEST CENTENNIAL ROAD SULittleton,CO,80127,
5280 TAVERN INC,5280 TAVERN INC,03-07451,Tavern (city),,01/03/2022 5060 NORTH FEDERAL BLVD,Denver,CO,80221
TPDN LLC,5281,03-06341,Hotel & Restaurant (county),,04/14/2022 14011 WEST QUINCY AVENUE SUITEMorrison,CO,80465,
52 EIGHTY SPORTS BAR LLC,52EIGHTY SPORTS BAR,03-14066,Tavern (county),,01/25/2022 7575 BROADWAY STREET UNIT C,Denver,CO,80221
567 MANAGEMENT LLC,567 MANAGEMENT LLC,03-05043,Tavern (city),,10/12/2021 567 MOUNTAIN VILLAGE BLVD,Mountain Village,CO,81435
5680 LLC,5680 LLC,42-61599-0001 Limited Winery,,,07/08/2021 14652 PEONY LANE,Paonia,CO,814284112
BAMBEE LLC,5TH AVE GRILLE,03-08589,Hotel & Restaurant (city),,08/31/2021 423 MAIN STREET UNIT C-1,Frisco,CO,80443
VIN HOSPITALITY LLC,626 ON ROOD MODERN AMERICAN C42-31021-0000 Hotel & Restaurant (city),,,,08/02/2021 626 ROOD AVENUE,Grand Junction,CO,815012742
FUSCO INC,636 MAIN,07-53388-0000 Hotel & Restaurant (city),,,04/11/2021 636 MAIN STREET,Durango,CO,813015438
WING SHACK ENTERPRISES INC65TH AVENUE WINGSHACK,,35-04639-0002 Beer & Wine (city),,,02/23/2022 1815 65TH AVE STE 1,Greeley,CO,80634
WINTA LLC,6TH AVE LIQUOR,03-08704,Liquor Store (city),,12/04/2021 10310 EAST 6TH AVENUE #C,Aurora,CO,80010
SIVRO ENTERPRISES INC & 7-E 7 - ELEVEN STORE 35717 A,,04-00190,Fermented Malt Beverage Off (,,01/09/2022 6400 CROSSROADS BLVD,Windsor,CO,80550
BROOSAY INC & 7 - ELEVEN INC7 - ELEVEN STORE 37570A,,04-00530,Fermented Malt Beverage Off (,,09/14/2021 8836 EAST 96TH AVENUE,Commerce City,CO,80640
JAMBOW ENTERPRISE INC AND7 ELEVEN 13213A,,42-69266-0000 Fermented Malt Beverage Off (,,,06/14/2021 567 E LOUISIANA AVE,Denver,CO,802101544
ARIMES INC AND 7-ELEVEN INC7 ELEVEN 25550A,,42-63183-0000 Fermented Malt Beverage Off (,,,11/19/2021 12880 EAST ALBROOK DRIVE,Denver,CO,80239
LALEH ENTERPRISES LLC AND 7 ELEVEN 39183A,,42-64357-0000 Fermented Malt Beverage Off (,,,02/11/2022 5200 W COLFAX AVE,Lakewood,CO,802141800
SHAH ENTERPRISES INC & 7 EL7 ELEVEN STORE #13169A,,43-01525-0000 Fermented Malt Beverage Off (,,,04/22/2021 1012 E BRIDGE ST,Brighton,CO,806012231
THANGUGHAL GROUPS INC 7 E7 ELEVEN STORE #18497A,,42-67610-0000 Fermented Malt Beverage Off (,,,06/14/2021 5010 KIPLING STREET,Wheat Ridge,CO,800332250
S AND AS STORE INC AND 7 EL 7 ELEVEN STORE #34087A,,42-72922-0000 Fermented Malt Beverage Off (,,,02/08/2022 15610 E 104TH AVE,Commerce City,CO,800220682
DSANDHU INC AND 7 ELEVEN IN7 ELEVEN STORE 13157A,,42-76740-0000 Fermented Malt Beverage Off (,,,06/21/2021 7270 BROADWAY,Denver,CO,802213608
GIS INC AND 7 ELEVEN INC,7 ELEVEN STORE 13167A,42-82218-0000 Fermented Malt Beverage Off (,,,10/12/2021 7540 PECOS ST,Denver,CO,802213437
M&R MARKET INC &7-ELEVEN IN7 ELEVEN STORE 13194A,,42-94511-0000 Fermented Malt Beverage Off (,,,07/31/2021 1107 SANTA FE DRIVE,Denver,CO,80204
M & A ENTERPRISES AND 7-ELE7- ELEVEN STORE 13196B,,42-18404-0000 Fermented Malt Beverage Off (,,,11/06/2021 1277 E HAMPDEN,Englewood,CO,80113
K STORES 5 INC & 7 ELEVEN IN 7 ELEVEN STORE 15955A,,04-00262,Fermented Malt Beverage Off (,,09/21/2021 620 EDISON STREET,Brush,CO,80723
